ean,nombre,marca,cantidad,unidad,categoria
7501055304745,COCA COLA ORIGINAL,Coca-Cola,3,l,refrescos
7501055302925,COCA COLA ORIGINAL,Coca-Cola,2,l,refrescos
7501055302451,COCA COLA ORIGINAL,Coca-Cola,1,l,refrescos
0000075007614,COCA COLA ORIGINAL,Coca-Cola,600,ml,refrescos
7501055300075,COCA COLA ORIGINAL,Coca-Cola,355,ml,refrescos
7501055320639,COCA COLA SIN AZUCAR,Coca-Cola,600,ml,refrescos
7501055305339,COCA COLA LIGHT,Coca-Cola,600,ml,refrescos
7501055361540,COCA COLA ORIGINAL,Coca-Cola,355,ml,refrescos
7501055361557,COCA COLA SIN AZUCAR,Coca-Cola,355,ml,refrescos
7501055305391,COCA COLA LIGHT,Coca-Cola,355,ml,refrescos
7501055354672,COCA COLA ORIGINAL,Coca-Cola,235,ml,refrescos
7501055354696,COCA COLA SIN AZUCAR,Coca-Cola,235,ml,refrescos
7501055354689,COCA COLA LIGHT,Coca-Cola,235,ml,refrescos
7501055341344,COCA COLA ORIGINAL,Coca-Cola,355,ml,refrescos
7501031310012,PEPSI ORIGINAL,Pepsi,600,ml,refrescos
7501031302741,PEPSI ORIGINAL,Pepsi,400,ml,refrescos
7501031312559,PEPSI LIGHT,Pepsi,600,ml,refrescos
7501031306022,PEPSI LIGHT,Pepsi,400,ml,refrescos
7501031310258,PEPSI ORIGINAL,Pepsi,2.5,l,refrescos
7501031311682,PEPSI ORIGINAL,Pepsi,1.5,l,refrescos
7501022013052,PEPSI BLACK,Pepsi,600,ml,refrescos
7501022013021,PEPSI BLACK,Pepsi,355,ml,refrescos
7501022014288,GATORADE SIN AZUCAR,Gatorade,1,l,refrescos
7501022014295,GATORADE FRAMBUESA,Gatorade,1,l,refrescos
7501055303779,FANTA NARANJA,Fanta,600,ml,refrescos
7501055328321,FANTA NARANJA,Fanta,400,ml,refrescos
7501031345052,MIRINDA NARANJA,Mirinda,600,ml,refrescos
7501031302819,MIRINDA ORIGINAL,Mirinda,400,ml,refrescos
7501055305629,SPRITE ORIGINAL,Sprite,600,ml,refrescos
7501055328369,SPRITE ORIGINAL,Sprite,400,ml,refrescos
7501022014585,7UP ORIGINAL,7UP,600,ml,refrescos
7501031302796,7UP ORIGINAL,7UP,400,ml,refrescos
7501055339983,SIDRAL MUNDET,Mundet,600,ml,refrescos
