ean,nombre,marca,cantidad,unidad,categoria
7501000111206,PAN BLANCO BIMBO,Bimbo,620,g,abarrotes
7501000111503,PAN HOT DOG BIMBO,Bimbo,340,g,abarrotes
7501000153800,PINGUINOS BIMBO,Marinela,80,g,abarrotes
7500810020531,PINGUINOS TRIPLE CHOCOLATE,Marinela,80,g,abarrotes
7501000153107,GANSITO,Marinela,50,g,abarrotes
0000075002275,CHOCO ROLES,Marinela,100,g,abarrotes
7501000153459,ROLLO FRESA,Marinela,75,g,abarrotes
7501000127344,LORS,Marinela,98,g,abarrotes
7501030421443,FAVORITAS NUEZ,Lara,155,g,abarrotes
7501030421450,FAVORITAS VAINILLA,Lara,155,g,abarrotes
7501030490418,DELICIOSAS CHOCO CHISPAS,Lara,80,g,abarrotes
7503031287127,DELICIOSAS VAINILLA,Lara,90,g,abarrotes
7501030457190,MINI BARRITA FRESA,Marinela,222,g,abarrotes
7501030486367,TUBO GANSITO,Marinela,215,g,abarrotes
7501000128167,PRINCIPE,Marinela,105,g,abarrotes
7501030491644,CANELITAS,Lara,90,g,abarrotes
7501030490937,CANELITAS TUBO,Lara,180,g,abarrotes
7501000138944,SPONCH,Marinela,120,g,abarrotes
7500810014004,SPONCH PINA,Marinela,120,g,abarrotes
7501000133338,PASTISETAS,Marinela,75,g,abarrotes
7501030430254,DANESAS,Lara,85,g,abarrotes
7501030491057,TRIKI TRAKES,Lara,170,g,abarrotes
7500810015810,PANQUE NUEZ,Bimbo,280,g,abarrotes
7501030456322,MANTECADA VAINILLA,Bimbo,157,g,abarrotes
7501000142804,DIVIDIDAS TIRAS,Marinela,110,g,abarrotes
7500810014721,BARRITAS FRESA,Marinela,75,g,abarrotes
7500810014516,TARTAS CAJETA,Marinela,110,g,abarrotes
7500810016466,TARTAS GUAYABA,Marinela,110,g,abarrotes
7503029445218,TARTAS MIX,Marinela,110,g,abarrotes
7503034673705,TUBO TARTA FRESA,Marinela,183,g,abarrotes
7622300124526,GALLETAS RITZ QUESO,Ritz,34,g,abarrotes
7622210827845,OREO,Oreo,68,g,abarrotes
7622210566706,OREO CHOCOLATE,Oreo,68,g,abarrotes
7622210541192,OREO PAY LIMON,Oreo,68,g,abarrotes
7622210541376,OREO VAINILLA,Oreo,68,g,abarrotes
7502271159737,GALLETAS INTEGRAL PINA,Bitz,80,g,abarrotes
7502271159713,GALLETAS INTEGRAL FRESA,Bitz,80,g,abarrotes
7502271159706,GALLETAS INTEGRAL ARANDANO,Bitz,80,g,abarrotes
7502271159720,GALLETAS INTEGRAL CHOCO FRESA,Bitz,80,g,abarrotes
7502271150147,GALLETAS CRACKER,Bitz,95,g,abarrotes
