ean,nombre,marca,cantidad,unidad,categoria
7501011101456,SABRITAS ORIGINAL,Sabritas,42,g,botana
7501011101463,SABRITAS ADOBADA,Sabritas,42,g,botana
7501011101678,SABRITAS LIMON,Sabritas,46,g,botana
7501011137431,SABRITAS HABANERO,Sabritas,42,g,botana
7501011143739,SABRITAS EXTRA FLAMIN HOT,Sabritas,42,g,botana
7501011159242,SABRITAS RECETA CRUJIENTE FLAMIN HOT,Sabritas,49,g,botana
7501011104099,RUFFLES QUESO,Ruffles,48,g,botana
7501011167674,RUFFLES QUESO,Ruffles,130,g,botana
7501011167650,SABRITAS SAL ORIGINAL,Sabritas,110,g,botana
7500478007974,RUFFLES MEGA CRUNCH JALAPENO,Ruffles,50,g,botana
7500478007967,RUFFLES MEGA CRUNCH SALSA ROJA,Ruffles,53,g,botana
7501011123588,DORITOS NACHO,Doritos,61,g,botana
7501011131064,DORITOS NACHO,Doritos,146,g,botana
7501011123595,DORITOS DIABLO,Doritos,61,g,botana
7501011130272,DORITOS FLAMIN HOT,Doritos,61,g,botana
7500478018512,DORITOS DINAMITA CHILE LIMON,Doritos,70,g,botana
7500478025169,DORITOS MIX,Doritos,75,g,botana
7501011143586,CHEETOS TORCIDITOS,Cheetos,58,g,botana
7501011155343,CHEETOS PALOMITAS QUESO,Cheetos,42,g,botana
7501011143999,CHEETOS NACHO VERDE,Cheetos,52,g,botana
7500478014606,CHEETOS POFFS,Cheetos,41,g,botana
7500478015047,CHEETOS BOLITAS,Cheetos,46,g,botana
7501011127012,TOSTITOS SALSA VERDE,Tostitos,62,g,botana
7501011110335,FRITOS SAL Y LIMON,Fritos,62,g,botana
7501011112254,FRITOS CHORIZO,Fritos,70,g,botana
7501011114623,PAKETAXO QUESO,Sabritas,65,g,botana
7501011148963,PAKETAXO MEZCLADITO,Sabritas,65,g,botana
7501011155008,PAKETAXO QUESO,Sabritas,215,g,botana
7501011154902,PAKETAXO MEZCLADITO,Sabritas,280,g,botana
7501011149205,SABRITONES,Sabritas,110,g,botana
7501011151086,SABRITONES CHILE LIMON,Sabritas,160,g,botana
7501011142299,CRUJITOS,Sabritas,42,g,botana
7501011111028,RANCHERITOS,Sabritas,60,g,botana
7500478028375,CHURRUMAIS LIMON,Sabritas,56,g,botana
7500478007639,BOLZAZA CRUJIENTE,Sabritas,81,g,botana
7500478026418,CACAHUATES KACANG,Sabritas,120,g,botana
7500478022175,CACAHUATES KACANG,Sabritas,69,g,botana
7501011143524,MAFER BOTANAS CACAHUATE,Mafer,65,g,botana
7501011123878,DORITOS INCOGNITA,Doritos,61,g,botana
7502294222975,PAPA SALADA,Bitz,70,g,botana
7502294223002,PAPA JALAPENO,Bitz,70,g,botana
7501054901310,MISSION CHIPS SALSA VERDE,Mission,62,g,botana
7501054901518,MISSION CHICHARRONES,Mission,113,g,botana
7501054901464,MISSION ATOMIX CHILE LIMON,Mission,170,g,botana
7501054901167,MISSION CHIPS QUESO JALAPENO,Mission,200,g,botana
