ean,nombre,marca,cantidad,unidad,categoria
7501055370276,LECHE SANTA CLARA CAFE,Santa Clara,250,ml,lacteos
7501055358113,LECHE SANTA CLARA FRESA,Santa Clara,250,ml,lacteos
7501295600621,LECHE SANTA CLARA FRESA,Santa Clara,200,ml,lacteos
7501295600614,LECHE SANTA CLARA CHOCOLATE,Santa Clara,200,ml,lacteos
7501295600126,LECHE SANTA CLARA ENTERA,Santa Clara,1,l,lacteos
7501295600157,LECHE SANTA CLARA DESLACTOSADA,Santa Clara,1,l,lacteos
7501055901425,LECHE ALPURA DESLACTOSADA,Alpura,1,l,lacteos
7501055904143,LECHE ALPURA DESLACTOSADA LIGHT,Alpura,1,l,lacteos
7501055900039,LECHE ALPURA ENTERA,Alpura,1,l,lacteos
7501055900800,LECHE ALPURA LIGHT,Alpura,1,l,lacteos
7501055910274,LECHE ALPURA UP DESLACTOSADA,Alpura,1,l,lacteos
7501954903292,NUTRALAT FORTE,Nutralat,1,l,lacteos
7502271153605,NUTRALAT FORTE,Nutralat,1.5,l,lacteos
7506205807589,CHOCOMILK,Chocomilk,160,g,lacteos
7502271157320,PRODUCTO LACTEO CONDENSADO,La Posada,380,g,lacteos
